"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка создания заказа с разными цветами","236","Создание заказа","tests","2026-06-24","passed","2026-06-24","TestCreateOrder","test_create_order","",""
"Проверка ошибки при попытке входа под несуществующим пользователем","364","Авторизация несуществующего курьера","tests","2026-06-24","passed","2026-06-24","TestLoginCourier","test_login_courier","",""
"Проверка, что API возвращает список заказов","12641","Получение списка заказов","tests","2026-06-24","passed","2026-06-24","TestGetOrders","test_get_orders","",""
"Проверка создания заказа с разными цветами","246","Создание заказа","tests","2026-06-24","passed","2026-06-24","TestCreateOrder","test_create_order","",""
"Проверка ошибки при вводе неверного логина","590","Авторизация с неверным логином","tests","2026-06-24","passed","2026-06-24","TestLoginCourier","test_login_courier","",""
"Проверка создания заказа с разными цветами","242","Создание заказа","tests","2026-06-24","passed","2026-06-24","TestCreateOrder","test_create_order","",""
"Проверка ошибки при отсутствии логина","452","Авторизация без логина","tests","2026-06-24","passed","2026-06-24","TestLoginCourier","test_login_courier","",""
"Проверка ошибки при повторном создании курьера с теми же данными","913","Нельзя создать дубликат курьера","tests","2026-06-24","passed","2026-06-24","TestCreateCourier","test_create_courier","",""
"Проверка создания заказа с разными цветами","251","Создание заказа","tests","2026-06-24","passed","2026-06-24","TestCreateOrder","test_create_order","",""
"Проверка ошибки при отсутствии пароля","60500","Авторизация без пароля","tests","2026-06-24","passed","2026-06-24","TestLoginCourier","test_login_courier","",""
"Проверка, что курьер может войти в систему с корректным логином и паролем","512","Успешная авторизация курьера","tests","2026-06-24","passed","2026-06-24","TestLoginCourier","test_login_courier","",""
"Проверка ошибки при вводе неверного пароля","629","Авторизация с неверным паролем","tests","2026-06-24","passed","2026-06-24","TestLoginCourier","test_login_courier","",""
"Проверка успешного создания курьера ","839","Создание курьера","tests","2026-06-24","passed","2026-06-24","TestCreateCourier","test_create_courier","",""
"Проверка ошибки при отсутствии обязательного поля login","211","Создание курьера без логина","tests","2026-06-24","passed","2026-06-24","TestCreateCourier","test_create_courier","",""
"Проверка ошибки при отсутствии обязательного поля password","217","Создание курьера без пароля","tests","2026-06-24","passed","2026-06-24","TestCreateCourier","test_create_courier","",""
